pcap_id,sample_hash,label,src_ip,dst_ip,src_port,dst_port,protocol,duration,total_bytes,total_packets,bytes_per_second,packets_per_second,pkt_len_mean,pkt_len_std,iat_mean,iat_std,burstiness,burst_count,is_complete_handshake,has_tls,tls_cipher_count,tls_ext_count,ja4_fingerprint,ja4_tls_ver_num,ja4_cipher_count,ja4_ext_count,ja4_sni_present,ja4_has_alpn,ja3_fingerprint,dns_query_count,dns_unique_queries,http_request_count,http_unique_hosts
28,Gamming,bengin,192.168.18.4,162.254.195.72,53109,27049,UDP,897.373572,16402,31,18.2778,0.0345,529.0968,560.9565,29.912452,50.29365,0.25411,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,205.196.6.135,53110,27047,UDP,896.868828,16402,31,18.2881,0.0346,529.0968,560.9565,29.895628,50.264314,0.254101,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,155.133.244.51,53111,27047,UDP,897.272529,16402,31,18.2798,0.0345,529.0968,560.9565,29.909084,50.2876,0.254107,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,155.133.224.20,53112,27046,UDP,897.171112,16402,31,18.2819,0.0346,529.0968,560.9565,29.905704,50.281519,0.254103,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,146.66.152.42,53113,27040,UDP,0.0,1342,1,1342.0,1.0,1342.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,162.254.199.170,192.168.18.4,27187,53107,UDP,896.364109,15457,31,17.2441,0.0346,498.6129,581.9924,29.878804,50.238024,0.254119,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,162.254.194.38,192.168.18.4,27092,53106,UDP,896.65972,15457,31,17.2384,0.0346,498.6129,581.9924,29.888657,50.252041,0.254095,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,162.254.192.124,192.168.18.4,27046,53108,UDP,896.059076,15457,31,17.25,0.0346,498.6129,581.9924,29.868636,50.237262,0.254271,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,205.196.6.135,192.168.18.4,27047,53110,UDP,896.869749,15457,31,17.2344,0.0346,498.6129,581.9924,29.895658,50.264264,0.2541,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,155.133.244.51,192.168.18.4,27047,53111,UDP,897.269276,15457,31,17.2267,0.0345,498.6129,581.9924,29.908976,50.287699,0.254109,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,155.133.224.20,192.168.18.4,27046,53112,UDP,897.170907,15457,31,17.2286,0.0346,498.6129,581.9924,29.905697,50.281683,0.254105,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,162.254.195.72,192.168.18.4,27049,53109,UDP,897.374812,15457,31,17.2247,0.0345,498.6129,581.9924,29.912494,50.293619,0.254109,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,155.133.249.163,53114,27023,UDP,0.0,1342,1,1342.0,1.0,1342.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,146.66.152.42,192.168.18.4,27040,53113,UDP,0.0,1342,1,1342.0,1.0,1342.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,155.133.249.163,192.168.18.4,27023,53114,UDP,0.0,1342,1,1342.0,1.0,1342.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,183.60.122.2,53115,27041,UDP,0.0,1342,1,1342.0,1.0,1342.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,183.60.122.2,192.168.18.4,27041,53115,UDP,0.0,1342,1,1342.0,1.0,1342.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,162.159.135.232,64293,443,UDP,10.033071,15477,18,1542.5985,1.7941,859.8333,531.0568,0.590181,1.930996,0.531821,4,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,162.159.135.232,192.168.18.4,443,64293,UDP,10.001131,3836,11,383.5566,1.0999,348.7273,374.0161,1.000113,2.445307,0.419454,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,112.45.45.131,64834,27018,UDP,0.0,1342,1,1342.0,1.0,1342.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,162.254.193.98,64835,27063,UDP,2.108968,2336,8,1107.6507,3.7933,292.0,396.8627,0.301281,0.131009,-0.393884,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,155.133.238.178,64836,27056,UDP,2.310326,2336,8,1011.1128,3.4627,292.0,396.8627,0.330047,0.276761,-0.087812,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,155.133.252.88,64837,27049,UDP,1.404031,2336,8,1663.7809,5.6979,292.0,396.8627,0.200576,0.093208,-0.365464,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,185.25.183.163,64838,27025,UDP,2.310031,2336,8,1011.2419,3.4632,292.0,396.8627,0.330004,0.205247,-0.233082,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0
